,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,blue_first_blood,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed,red_first_blood,red_first_blodd
8851,NA1_4479869428,200,12,1,4,0,0,0,14447,6.8,52,165,1,19,2,11,1,5,0,19674,7.4,47,211,0,
8852,NA1_4477177820,100,17,3,9,0,2,0,18838,7.4,54,244,1,18,5,8,1,2,0,17432,7.2,57,194,0,
8853,NA1_4476430704,100,33,4,13,1,4,0,19518,6.8,54,193,1,18,2,7,0,3,0,17505,6.8,48,234,0,
8854,NA1_4474104174,100,66,2,11,0,5,0,19975,7.2,58,243,1,12,3,3,0,1,0,15163,6.6,52,225,0,
8855,NA1_4474068401,200,14,1,7,0,2,0,15349,6.8,39,204,0,6,1,6,0,3,0,16990,6.8,44,222,0,1.0
8856,NA1_4474062875,100,12,4,6,0,0,0,17059,6.8,48,252,1,25,2,7,0,0,0,17248,7.2,52,236,0,
8857,NA1_4474017551,200,18,2,9,0,4,0,18519,7.2,46,257,1,10,4,4,0,0,0,15396,6.6,51,233,0,
8858,NA1_4471134597,100,15,4,6,1,3,0,17440,7.6,64,237,0,14,2,3,0,0,0,14604,6.2,32,217,0,1.0
8859,NA1_4471130738,200,16,3,3,0,1,0,15376,6.4,46,210,1,24,5,13,2,3,0,20516,7.4,76,238,0,
8860,NA1_4471085246,200,13,2,1,0,1,0,14583,7.0,74,206,0,59,4,8,0,2,0,18760,7.4,72,235,0,1.0
8861,NA1_4471061544,200,15,1,6,0,5,1,17029,6.6,56,202,0,12,2,10,1,1,0,18233,7.0,55,209,0,1.0
8862,NA1_4471039428,200,3,0,1,0,0,0,4570,2.2,0,30,0,4,0,1,0,0,0,5188,2.6,12,45,0,1.0
8863,NA1_4471006629,200,13,1,6,1,0,0,15036,6.6,50,168,0,19,3,15,1,2,0,20538,7.0,60,223,0,1.0
8864,NA1_4468634639,200,15,2,7,1,2,0,16709,7.0,50,198,0,15,2,11,0,2,0,18011,7.0,56,190,0,1.0
8865,NA1_4468565853,100,17,1,5,0,2,0,16199,6.6,44,199,1,32,2,9,1,0,0,17311,6.8,47,216,0,
8866,NA1_4468508260,100,16,1,4,0,1,0,16069,6.6,72,185,0,17,1,6,0,3,0,17151,6.8,58,209,0,1.0
8867,NA1_4468534368,100,15,1,12,0,4,0,18960,7.2,56,189,1,18,0,6,1,0,0,15429,6.6,56,183,0,
8868,NA1_4483009831,200,15,0,3,0,2,0,16106,7.0,67,219,0,14,1,6,1,2,0,16351,7.0,64,207,0,1.0
8869,NA1_4482988914,100,15,4,9,1,1,0,18599,7.0,51,243,1,18,2,3,0,1,0,15498,6.8,44,229,0,
8870,NA1_4482962491,200,15,3,3,0,2,0,15759,6.8,60,217,0,14,4,9,2,1,0,17746,7.2,60,202,0,1.0
8871,NA1_4482950844,200,42,6,6,2,1,0,17336,7.2,68,210,0,37,1,9,0,1,0,18211,7.0,52,239,0,1.0
8872,NA1_4482460011,200,12,0,4,1,1,0,16449,6.8,64,225,0,16,1,7,1,1,0,16312,7.0,44,214,0,1.0
8873,NA1_4482422335,200,13,5,2,0,0,0,14885,7.0,56,234,0,17,3,1,1,0,0,15065,7.0,59,239,0,1.0
8874,NA1_4482372169,200,15,3,7,0,3,0,17189,6.6,48,202,0,12,2,12,1,2,0,18980,6.8,51,199,0,1.0
8875,NA1_4482329081,100,18,1,6,0,4,0,17040,6.8,52,239,1,20,4,2,0,2,0,15333,6.8,52,248,0,
8876,NA1_4481622348,200,14,3,4,0,0,0,16178,6.8,68,222,0,17,3,7,1,4,0,19216,7.4,68,255,0,1.0
8877,NA1_4481578638,200,15,4,7,0,0,0,17374,7.0,60,221,1,15,1,5,1,0,0,16081,6.8,63,195,0,
8878,NA1_4470271658,100,17,1,7,1,3,0,17558,6.8,69,216,0,38,3,5,0,1,0,14406,6.8,36,197,0,1.0
8879,NA1_4470169475,200,13,2,4,2,0,0,16321,7.0,60,212,1,23,1,7,0,1,0,17788,7.0,68,237,0,
8880,NA1_4470184628,100,11,3,5,1,5,0,17339,6.8,56,205,1,14,1,5,1,1,0,15782,6.8,59,208,0,
8881,NA1_4469664731,200,16,1,2,0,0,0,14500,6.8,58,206,0,14,2,4,0,1,0,16313,7.2,66,245,0,1.0
8882,NA1_4469608150,100,20,5,5,0,2,0,17305,7.0,80,205,0,24,7,6,1,3,0,16993,6.8,44,255,0,1.0
8883,NA1_4469582408,100,16,3,9,0,5,0,19404,7.6,61,225,0,15,4,6,1,1,0,17155,7.2,56,204,0,1.0
8884,NA1_4469557685,200,13,3,4,1,0,0,16005,6.8,54,207,0,12,1,10,0,4,0,19391,7.2,56,247,0,1.0
8885,NA1_4469341107,100,55,3,6,2,3,0,16402,6.8,52,166,1,15,2,5,0,0,0,14837,6.4,55,145,0,
8886,NA1_4469286717,200,16,1,9,0,4,0,18569,7.2,56,222,1,18,1,5,0,3,0,16023,7.2,56,229,0,
8887,NA1_4460144628,200,19,4,7,0,1,0,16342,7.0,52,204,0,27,4,7,1,2,0,18143,7.0,67,196,0,1.0
8888,NA1_4506681244,200,14,0,9,2,1,0,18298,7.0,46,220,1,16,3,8,0,3,0,18095,6.8,54,203,0,
8889,NA1_4506661304,200,16,2,6,0,2,0,17022,7.2,72,214,1,9,3,4,1,4,0,15916,6.8,52,212,0,
8897,NA1_4506567554,200,38,4,7,0,1,0,16535,6.8,27,201,0,33,4,11,2,1,0,18291,7.0,63,199,0,1.0
8898,NA1_4506185508,200,16,3,9,1,1,0,17587,6.8,53,192,0,17,1,12,1,1,0,18269,6.8,40,166,0,1.0
8901,NA1_4497163769,200,12,3,7,0,0,0,16970,7.2,54,197,1,17,3,6,1,0,0,16680,7.4,66,224,0,
8902,NA1_4496960679,200,14,1,3,0,1,0,15213,6.8,48,212,0,15,1,6,0,3,0,16646,7.2,60,222,0,1.0
8903,NA1_4492900277,200,12,0,5,0,2,0,15288,6.2,32,189,0,14,3,14,0,8,0,21176,7.4,53,223,0,1.0
8904,NA1_4491181903,100,26,1,10,1,2,0,17047,6.8,52,194,1,12,0,3,0,1,0,15289,6.4,48,195,0,
8905,NA1_4491147224,100,21,1,7,0,3,0,18014,6.8,64,204,1,19,2,1,0,0,0,13813,6.6,55,211,0,
8906,NA1_4490880873,200,39,2,6,1,4,0,16605,6.8,56,202,0,15,3,9,0,1,0,18163,7.0,60,208,0,1.0
8907,NA1_4490846755,100,49,3,9,0,2,0,18691,7.4,56,215,0,64,4,8,1,0,0,17402,7.4,51,206,0,1.0
8908,NA1_4490553156,200,15,1,6,0,0,0,16783,7.0,63,223,0,106,5,9,1,2,0,18255,7.0,55,229,0,1.0
8909,NA1_4490542759,100,17,4,7,1,1,0,16625,6.6,52,206,1,17,2,4,0,1,0,15872,6.4,40,239,0,
8910,NA1_4490502268,100,13,2,9,1,3,0,18148,7.4,67,235,1,22,2,2,0,0,0,14366,6.8,55,214,0,
8911,NA1_4490477319,200,18,1,6,0,1,0,16694,6.6,55,216,0,82,2,6,0,3,0,16982,7.0,57,222,0,1.0
8912,NA1_4484987630,100,16,4,9,1,4,0,19047,7.0,55,221,0,17,0,5,0,0,0,15566,6.6,49,180,0,1.0
8913,NA1_4484865322,200,14,3,8,1,2,0,19267,7.0,78,199,1,15,1,11,0,3,0,18948,7.4,46,230,0,
8914,NA1_4477919893,100,14,4,7,1,1,0,17367,6.8,76,193,0,21,3,7,1,1,0,16564,7.2,60,230,0,1.0
8915,NA1_4471720727,100,16,3,7,1,3,0,17111,6.8,45,210,1,12,2,6,1,2,0,16565,7.0,56,198,0,
8916,NA1_4471667144,100,11,2,11,1,4,0,18048,6.4,34,203,1,12,1,10,0,0,0,17183,6.4,32,192,0,
8917,NA1_4470447085,200,10,2,3,1,1,0,15138,6.6,47,230,0,14,1,5,1,2,0,16941,7.0,80,228,0,1.0
8919,NA1_4494415168,200,14,3,10,1,0,0,18415,6.8,58,202,0,13,4,10,0,1,0,17957,7.0,44,201,0,1.0
8920,NA1_4493806215,200,15,4,6,1,1,0,16983,7.0,56,185,1,14,3,3,1,5,0,17293,7.0,64,261,0,
8922,NA1_4476553589,200,161,2,10,0,3,0,17505,7.2,51,190,0,16,2,6,1,3,0,16137,6.6,53,188,0,1.0
8923,NA1_4475619253,200,22,0,4,0,3,0,15945,6.8,54,211,0,14,4,6,0,3,0,17492,7.0,52,220,0,1.0
8924,NA1_4474572615,100,14,1,2,1,1,0,15672,7.2,70,257,0,15,1,5,1,3,0,17321,7.0,62,239,0,1.0
8925,NA1_4474439344,100,31,2,8,1,3,0,18916,7.0,45,229,0,15,4,3,0,0,0,14415,6.6,70,200,0,1.0
8926,NA1_4474397338,200,22,4,5,1,1,0,15665,7.2,69,183,0,20,0,8,1,6,0,18480,7.2,44,237,0,1.0
8927,NA1_4473738048,100,12,4,5,0,2,0,17572,7.6,84,250,0,14,2,2,0,0,0,15670,7.0,58,230,0,1.0
8928,NA1_4489741990,100,15,1,6,0,2,0,16344,6.6,47,200,1,15,3,4,0,2,0,15781,6.8,52,210,0,
8930,NA1_4489660737,100,17,3,8,1,9,1,19427,6.6,48,217,0,17,3,7,0,6,0,17448,6.4,44,201,0,1.0
8931,NA1_4489631457,100,12,1,5,1,4,0,16927,6.8,54,256,1,13,1,2,0,0,0,15128,6.8,76,238,0,
8932,NA1_4488067858,200,13,4,7,0,1,0,17533,7.0,58,217,0,15,4,12,1,3,0,19594,7.4,48,242,0,1.0
8933,NA1_4484031859,100,15,5,8,0,2,0,17968,7.0,52,219,0,13,4,6,0,1,0,16859,7.2,60,237,0,1.0
8934,NA1_4475642952,200,17,1,6,1,3,0,17307,6.8,55,202,1,13,2,13,1,4,0,20329,7.2,52,217,0,
