,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed
512,NA1_4498313936,200,15,5,4,1,1,0,16326,7.0,68,211,21,6,7,1,4,0,18534,7.4,59,234
513,NA1_4491349220,100,13,4,7,1,1,0,17795,7.2,60,240,25,0,3,0,1,0,15327,6.8,56,229
514,NA1_4491335291,100,12,2,9,0,1,0,17976,7.0,54,223,17,5,7,1,1,0,17715,7.2,74,224
515,NA1_4478908869,100,149,4,5,1,2,0,16229,7.0,60,224,98,1,6,0,0,0,16401,7.0,60,186
516,NA1_4478620599,100,30,2,8,0,7,1,19769,7.0,48,250,168,2,4,0,2,0,14923,6.6,64,164
517,NA1_4477792353,200,1,0,1,0,0,0,4688,2.4,16,26,0,0,1,0,0,0,4997,2.6,24,31
518,NA1_4477790439,200,16,3,2,0,1,0,14390,6.6,72,189,117,6,7,1,6,0,18647,7.2,53,254
519,NA1_4475518760,200,182,2,8,0,1,0,17163,6.2,52,183,14,2,14,1,5,0,20065,6.6,44,205
520,NA1_4475525255,100,81,3,8,0,3,0,18510,7.4,79,218,39,1,8,0,1,0,17657,6.8,48,216
521,NA1_4474529281,100,179,2,11,1,2,0,18548,7.4,48,229,13,3,7,0,0,0,16070,6.6,28,207
522,NA1_4475877612,100,18,0,9,1,2,0,18860,7.0,52,230,19,3,5,0,1,0,17153,7.2,59,220
523,NA1_4474559436,200,70,3,6,1,0,0,15126,7.0,56,169,47,2,7,0,2,0,16797,7.0,47,208
524,NA1_4474553059,200,25,5,0,1,1,0,14843,6.8,72,242,13,4,4,1,2,0,16292,7.2,57,252
525,NA1_4450314512,100,16,3,11,0,2,0,18633,7.2,65,215,11,2,2,0,2,0,14950,6.8,58,218
526,NA1_4416172632,100,13,1,6,1,2,0,15769,6.6,67,182,16,2,2,1,0,0,15456,6.8,73,229
527,NA1_4414009370,100,27,4,6,0,2,0,16758,6.6,51,215,63,6,9,0,1,0,18419,7.2,72,215
528,NA1_4400358901,200,8,16,5,0,1,0,16329,7.0,57,210,45,2,6,1,6,0,17031,7.0,55,229
529,NA1_4399397919,100,13,2,12,1,6,0,20738,6.8,59,195,16,0,10,0,3,0,17392,6.4,32,179
530,NA1_4399414123,100,18,1,5,0,4,0,17508,7.2,74,240,12,4,4,1,1,0,15887,7.0,52,219
531,NA1_4502986532,200,17,1,4,0,2,0,15949,6.8,56,210,44,0,7,2,0,0,16523,6.8,60,207
532,NA1_4498978538,200,13,2,10,1,3,0,18603,7.2,64,218,13,4,8,1,1,0,16975,6.6,56,195
533,NA1_4498815559,200,13,1,4,1,1,0,16233,7.0,65,228,12,2,5,1,2,0,16173,7.2,58,213
534,NA1_4498786462,100,15,3,8,0,4,0,18459,7.2,60,223,15,2,6,0,2,0,16119,7.0,56,190
535,NA1_4498744827,100,16,2,4,0,1,0,16039,7.0,68,215,12,1,4,1,2,0,15697,6.8,56,215
536,NA1_4498718523,100,12,2,5,1,1,0,15908,7.0,44,215,18,2,0,0,2,0,14233,6.6,76,211
537,NA1_4498706420,100,11,4,5,1,1,0,16109,7.2,56,204,15,2,2,1,1,0,15189,7.0,68,225
538,NA1_4498696998,100,13,4,8,2,1,0,18010,7.2,64,218,105,0,7,0,1,0,18211,7.2,60,227
539,NA1_4496555025,200,23,0,4,1,0,0,16372,6.8,49,200,13,5,7,1,2,0,16807,6.8,46,224
540,NA1_4493597012,200,15,2,6,1,3,0,18238,7.4,72,229,15,1,8,0,1,0,17153,6.8,48,240
541,NA1_4493549178,200,18,4,7,0,0,0,16131,6.8,52,206,16,3,9,0,2,0,18580,7.0,63,223
542,NA1_4493507336,100,24,0,9,0,1,0,18457,7.0,54,212,13,1,14,0,2,0,19802,7.2,40,210
543,NA1_4492876223,100,23,4,11,1,2,0,18631,7.4,52,214,23,2,5,0,3,0,15884,6.6,42,199
544,NA1_4492840444,100,21,3,7,0,4,0,17586,7.0,57,185,18,2,7,1,2,0,16538,7.0,51,226
545,NA1_4492811372,200,12,0,1,1,0,0,14419,7.0,62,199,16,1,8,1,2,0,18286,7.4,61,248
546,NA1_4492773587,100,45,3,7,1,1,0,17179,7.4,60,194,16,15,9,0,5,1,19226,7.2,60,220
547,NA1_4492754808,100,16,3,11,1,6,0,20674,7.4,75,232,13,4,5,0,1,0,15065,6.6,36,187
548,NA1_4491736715,200,20,2,2,0,1,0,15630,6.8,76,233,12,3,3,2,0,0,15065,7.2,68,201
549,NA1_4492411545,200,10,0,2,0,0,0,13782,6.2,55,181,55,1,6,2,7,0,18245,7.0,64,234
550,NA1_4492406868,200,14,0,2,0,1,0,14511,6.6,62,201,9,0,2,1,4,0,15295,7.0,74,225
551,NA1_4491839924,100,12,1,4,1,2,0,15673,6.8,55,223,16,3,1,1,0,0,15000,7.2,66,254
552,NA1_4491754704,200,17,2,4,0,1,0,15046,6.4,56,163,15,4,9,0,2,0,18284,6.8,41,235
553,NA1_4491716763,200,19,4,2,0,1,0,14617,6.8,48,224,13,1,6,0,2,0,16441,6.6,36,201
554,NA1_4491686808,200,11,3,5,0,2,0,16253,6.8,64,221,16,2,7,1,0,0,17225,6.8,64,223
555,NA1_4491500085,200,15,3,4,0,0,0,14318,6.4,56,159,17,3,9,0,4,0,18354,6.8,59,213
556,NA1_4491477630,100,21,1,7,0,8,0,18669,7.4,76,226,10,5,2,1,0,0,13957,6.4,47,213
